0.175923 216 121
0.171011 216 27
0.175691 216 205
0.175859 216 21
0.17101 121 27
0.17569 121 205
0.175882 121 21
0.175693 205 21
0.0197269 217 168
0.019766 214 35
0.0211456 215 174
0.0209064 212 183
0.0230182 213 173
0.0209535 210 98
0.0199107 211 259
0.020867 165 88
0.0198092 264 224
0.0203362 265 68
0.0210476 218 269
0.0496488 219 71
0.049589 219 255
0.0496385 71 255
0.020559 133 167
0.0207956 132 229
0.0196174 131 243
0.0187398 130 249
0.020365 137 272
0.0214617 136 268
0.0685986 135 182
0.0701106 135 209
0.0683608 135 113
0.0686439 182 209
0.0683526 209 113
0.0204498 134 146
0.0192057 139 267
0.0194955 138 236
0.020182 166 161
0.0204396 161 8
0.0203768 24 57
0.0330948 25 19
0.0467463 25 158
0.0471588 25 103
0.0465517 158 103
0.0205073 26 7
0.0209018 26 78
0.029022 20 32
0.039921 32 184
0.0397057 32 185
0.0521008 22 258
0.052443 22 48
0.0523748 258 48
0.036974 48 222
0.0208824 23 233
0.0205794 233 107
0.0194493 160 142
0.0202304 28 253
0.0201834 29 277
0.0202401 277 101
0.0226159 0 30
0.0222163 0 105
0.0210977 4 287
0.0426249 281 79
0.0422986 281 67
0.042525 79 67
0.0302354 67 69
0.0201278 283 192
0.0211111 163 164
0.0937789 285 280
0.0954947 285 15
0.0927637 285 179
0.0938605 280 15
0.092829 15 179
0.0196629 284 204
0.0204569 204 96
0.0212253 286 154
0.0201401 119 176
0.0205472 120 208
0.0200234 120 73
0.0196591 122 46
0.111507 123 128
0.111974 123 200
0.111921 123 263
0.111675 128 200
0.111887 128 263
0.112091 200 263
0.109405 200 143
0.109363 263 143
0.0392259 124 110
0.0394503 124 254
0.0395453 110 254
0.175897 125 177
0.175897 125 288
0.175897 125 180
0.175972 177 288
0.175972 177 180
0.175857 177 235
0.175972 288 180
0.175857 288 235
0.175857 180 235
0.0214027 126 62
0.204314 127 9
0.203975 127 117
0.204118 127 232
0.204375 9 117
0.204473 9 232
0.20403 9 159
0.203758 117 159
0.203868 232 159
0.0218889 129 241
0.019901 118 188
0.0189265 59 140
0.0206491 58 149
0.0199178 55 17
0.136689 54 270
0.136627 54 83
0.136718 54 39
0.136623 270 83
0.136705 270 39
0.136624 83 39
0.0212661 56 76
0.0200151 51 80
0.0196874 50 100
0.0413849 53 252
0.0413452 53 81
0.0413157 252 81
0.0199805 52 150
0.18211 201 60
0.182062 201 14
0.182076 201 112
0.182322 60 14
0.182344 60 112
0.08572 60 228
0.182367 14 112
0.103524 199 196
0.105463 199 171
0.106859 199 34
0.10356 196 34
0.105297 171 34
0.0207518 195 240
0.0195108 194 206
0.0198735 197 220
0.043069 178 38
0.0434858 178 70
0.0431326 38 70
0.0207783 191 5
0.0190569 190 115
0.0203377 193 198
0.124578 114 230
0.124474 114 223
0.124594 114 187
0.124413 230 223
0.124532 230 187
0.124418 223 187
0.0205931 89 85
0.0189476 111 94
0.0196815 82 273
0.0201317 86 282
0.141524 87 91
0.139502 87 18
0.141021 87 99
0.141511 87 40
0.139524 91 18
0.141022 91 99
0.141503 91 40
0.140959 99 40
0.0197843 84 148
0.0201942 251 64
0.0191966 256 271
0.0200035 226 202
0.0212115 257 189
0.0211547 257 12
0.0201866 3 2
0.0197327 247 275
0.0202689 275 231
0.0193704 225 106
0.0196991 245 170
0.019923 170 242
0.0431108 244 108
0.0431241 244 144
0.0432945 108 144
0.031579 144 31
0.0203998 109 6
0.0219371 102 44
0.0700305 104 75
0.0701826 104 175
0.072549 75 175
0.0707647 75 93
0.0709269 175 93
0.0216427 33 97
0.0401304 184 185
0.021245 37 16
0.0184395 36 279
0.0204047 246 221
0.0210749 61 10
0.0200914 63 237
0.0310157 65 156
0.0436684 156 169
0.0431101 156 92
0.0203417 66 157
0.0194376 172 181
0.0201539 203 248
0.0202696 162 260
0.0203774 260 116
0.0202737 186 147
0.0429318 169 92
0.0196333 90 72
0.0211858 95 227
0.0220892 11 250
0.0198101 13 141
0.020466 274 145
0.021282 151 234
0.0210602 153 49
0.0199874 152 278
0.020509 155 266
0.0209794 238 45
0.0197116 239 207
0.0210571 47 43
0.02059 42 261
0.0211001 41 276
0.0204281 1 74
0.0190439 77 262
